,dataset,num_epochs,aug,train,group,log_suffix,Train_MSE,test_MSE,test_equivar_err,val_MSE,method
36,ParticleInteraction,1000,True,100,Lorentz,trial36/,0.03714810311794281,0.17043335288763045,0.11183534562587738,0.16248618066310883,MLP+Aug
37,ParticleInteraction,1000,True,300,Lorentz,trial37/,0.016626115888357162,0.03503680471330881,0.07510639727115631,0.036601483821868896,MLP+Aug
38,ParticleInteraction,900,True,1000,Lorentz,trial38/,0.007427520584315062,0.011390453111380339,0.05048621818423271,0.011165434028953314,MLP+Aug
39,ParticleInteraction,300,True,3000,Lorentz,trial39/,0.0121932167870303,0.011276069190353155,0.05553043819963932,0.011486336588859558,MLP+Aug
40,ParticleInteraction,90,True,10000,Lorentz,trial40/,0.01434746002778411,0.016434533521533012,0.05712186358869076,0.02112014079466462,MLP+Aug
41,ParticleInteraction,30,True,30000,Lorentz,trial41/,0.01336871525272727,0.01293243607506156,0.05842766910791397,0.013084457255899906,MLP+Aug
42,O5Synthetic,1000,False,30,O[5],trial42/,0.0010896100429818034,25.49063949584961,0.3632713705301285,34.06880760192871,MLP
43,O5Synthetic,1000,False,100,O[5],trial43/,0.006292443722486496,2.910573673248291,0.11408253386616707,3.0234397649765015,MLP
44,O5Synthetic,1000,False,300,O[5],trial44/,0.02434222400188446,0.2760382279753685,0.025088044814765453,0.3314026743173599,MLP
45,O5Synthetic,900,False,1000,O[5],trial45/,0.045978158712387085,0.08538804203271866,0.014956952072679996,0.07728417590260506,MLP
46,O5Synthetic,300,False,3000,O[5],trial46/,0.05461667167643706,0.06256692670285702,0.00967458775267005,0.06514099799096584,MLP
47,O5Synthetic,90,False,10000,O[5],trial47/,0.060879646241664885,0.06511013619601727,0.010879018809646368,0.06262199766933918,MLP
48,O5Synthetic,30,False,30000,O[5],trial48/,0.05979757755994797,0.0640420712530613,0.009866238106042147,0.05840065889060497,MLP
49,Inertia,1000,False,30,O[3],trial49/,5.559457302093506,13.294329738616943,0.2395520955324173,13.484613418579102,MLP
50,Inertia,1000,False,100,O[3],trial50/,0.016629790887236595,7.984532403945923,0.22842951864004135,8.277606725692749,MLP
51,Inertia,1000,False,300,O[3],trial51/,0.18559908866882324,5.129519605636597,0.17479462176561356,4.97367525100708,MLP
52,Inertia,900,False,1000,O[3],trial52/,1.4142718315124512,3.2379845142364503,0.10137984156608582,3.2997370958328247,MLP
53,Inertia,300,False,3000,O[3],trial53/,0.026987042278051376,0.8720465779304505,0.0785747841000557,0.9070569276809692,MLP
54,Inertia,90,False,10000,O[3],trial54/,0.04801052939146757,0.15880474001169204,0.03194509074091911,0.15403301268815994,MLP
55,Inertia,30,False,30000,O[3],trial55/,0.07932268703977267,0.10822520107030868,0.026843649335205555,0.10368050262331963,MLP
56,ParticleInteraction,1000,False,30,Lorentz,trial56/,0.14302490651607513,0.7333659708499909,0.07179651409387589,0.6857055425643921,MLP
57,ParticleInteraction,1000,False,100,Lorentz,trial57/,1.3546291589736938,0.7340325653553009,0.06552379205822945,0.6863265633583069,MLP
58,ParticleInteraction,1000,False,300,Lorentz,trial58/,0.015450255945324898,0.7038267493247986,0.3949146568775177,0.6673784554004669,MLP
59,ParticleInteraction,900,False,1000,Lorentz,trial59/,0.0006227586418390274,0.3855897694826126,0.3384588360786438,0.4257475435733795,MLP
60,ParticleInteraction,300,False,3000,Lorentz,trial60/,0.00312601161810259,0.054278521239757536,0.15259353816509247,0.050133638083934784,MLP
61,ParticleInteraction,90,False,10000,Lorentz,trial61/,0.004623597068712115,0.016620414890348913,0.05404539778828621,0.020835491362959146,MLP
62,ParticleInteraction,30,False,30000,Lorentz,trial62/,0.00972889547701925,0.012081103306263686,0.06443069875240326,0.01930145174264908,MLP
63,O5Synthetic,1000,True,30,O[5],trial63/,0.24780863523483276,0.6112281799316406,0.04593156836926937,0.6123877465724945,MLP+Aug
64,O5Synthetic,1000,True,100,O[5],trial64/,0.8920860886573792,0.3332465410232544,0.0331912599503994,0.3451782166957855,MLP+Aug
65,O5Synthetic,1000,True,300,O[5],trial65/,0.07664971798658371,0.09349419996142387,0.016301117837429047,0.10988632962107658,MLP+Aug
66,O5Synthetic,900,True,1000,O[5],trial66/,0.07848283275961876,0.07139832451939583,0.013134583365172148,0.06534335389733315,MLP+Aug
67,O5Synthetic,300,True,3000,O[5],trial67/,0.10985366255044937,0.10157927349209786,0.01782217901200056,0.085001390427351,MLP+Aug
68,O5Synthetic,90,True,10000,O[5],trial68/,0.07817697003483773,0.07593042030930519,0.014185951091349125,0.07107478007674217,MLP+Aug
69,O5Synthetic,30,True,30000,O[5],trial69/,0.07723606005311012,0.07411257475614548,0.01159070385619998,0.06974707543849945,MLP+Aug
70,Inertia,1000,True,30,O[3],trial70/,0.40415439009666443,4.684532403945923,0.10001219809055328,4.7965497970581055,MLP+Aug
71,Inertia,1000,True,100,O[3],trial71/,0.14709553122520447,1.733225405216217,0.053306469693779945,1.4961839318275452,MLP+Aug
72,Inertia,1000,True,300,O[3],trial72/,0.10836870968341827,0.47116996347904205,0.03766566514968872,0.41734664142131805,MLP+Aug
73,Inertia,900,True,1000,O[3],trial73/,0.060718147084116936,0.12308399975299836,0.02308584749698639,0.11737295612692833,MLP+Aug
74,Inertia,300,True,3000,O[3],trial74/,0.08703791474302609,0.11453398689627647,0.025719348341226578,0.11978382989764214,MLP+Aug
75,Inertia,90,True,10000,O[3],trial75/,0.10093085505068303,0.10969652608036995,0.02659340389072895,0.11577987670898438,MLP+Aug
76,Inertia,30,True,30000,O[3],trial76/,0.11228806426127752,0.11386128291487693,0.026911702938377857,0.10412076488137245,MLP+Aug
77,ParticleInteraction,1000,True,30,Lorentz,trial77/,0.05430355295538902,0.6369201302528381,0.17575753480196,0.5700403153896332,MLP+Aug
78,ParticleInteraction,1000,True,100,Lorentz,trial78/,0.06629815697669983,0.1791983127593994,0.14740192145109177,0.1934024542570114,MLP+Aug
79,ParticleInteraction,1000,True,300,Lorentz,trial79/,0.013350279070436954,0.037044188007712364,0.07644880563020706,0.047171943821012974,MLP+Aug
80,ParticleInteraction,900,True,1000,Lorentz,trial80/,0.008271002676337957,0.012901708483695984,0.04803057201206684,0.011355251539498568,MLP+Aug
81,ParticleInteraction,300,True,3000,Lorentz,trial81/,0.00950009849232932,0.010580569226294755,0.04675254225730896,0.010236379224807024,MLP+Aug
82,ParticleInteraction,90,True,10000,Lorentz,trial82/,0.011543181003071367,0.01255208719521761,0.05562572740018368,0.018911526072770357,MLP+Aug
83,ParticleInteraction,30,True,30000,Lorentz,trial83/,0.01152134380924205,0.011335779912769794,0.062216924503445625,0.012471222784370184,MLP+Aug
84,O5Synthetic,1000,False,30,O[5],trial84/,2.602054109956953e-07,32.513870811462404,0.432650625705719,42.119232177734375,MLP
85,O5Synthetic,1000,False,100,O[5],trial85/,0.0083601213991642,2.9104711771011353,0.10219741985201836,3.0804600715637207,MLP
86,O5Synthetic,1000,False,300,O[5],trial86/,0.012557771056890488,0.23457496911287307,0.029714920558035374,0.2713587135076523,MLP
87,O5Synthetic,900,False,1000,O[5],trial87/,0.038210880011320114,0.09420262202620507,0.016338921152055264,0.07799499481916428,MLP
88,O5Synthetic,300,False,3000,O[5],trial88/,0.04739456127087275,0.06302045583724976,0.011170634534209967,0.061156636103987694,MLP
89,O5Synthetic,90,False,10000,O[5],trial89/,0.06117208804935217,0.06501574106514454,0.011552651412785053,0.06455187499523163,MLP
90,O5Synthetic,30,False,30000,O[5],trial90/,0.05865573057283958,0.0572004746645689,0.009218142367899418,0.05313646234571934,MLP
91,Inertia,1000,False,30,O[3],trial91/,3.470578670501709,13.488458251953125,0.27116166055202484,13.549773693084717,MLP
92,Inertia,1000,False,100,O[3],trial92/,0.0785399079322815,7.9130651473999025,0.21948809176683426,8.187076568603516,MLP
93,Inertia,1000,False,300,O[3],trial93/,0.3790637254714966,4.806438207626343,0.1608707383275032,4.755732536315918,MLP
94,Inertia,900,False,1000,O[3],trial94/,1.4105068445205688,3.2323532104492188,0.09984350576996803,3.1940895318984985,MLP
95,Inertia,300,False,3000,O[3],trial95/,0.01587417908012867,0.8156488478183747,0.07438891753554344,0.8887477815151215,MLP
96,Inertia,90,False,10000,O[3],trial96/,0.04855293929576874,0.14669602885842323,0.032593272626399994,0.1657893806695938,MLP
97,Inertia,30,False,30000,O[3],trial97/,0.08054087062676747,0.10832410678267479,0.02778809331357479,0.10532667115330696,MLP
98,ParticleInteraction,1000,False,30,Lorentz,trial98/,0.14378036558628082,0.7314077496528626,0.05457164905965328,0.6846274733543396,MLP
99,ParticleInteraction,1000,False,100,Lorentz,trial99/,1.3723558187484741,0.7339897453784943,0.06523072347044945,0.6883102655410767,MLP
100,ParticleInteraction,1000,False,300,Lorentz,trial100/,0.010202450677752495,0.7037198573350907,0.3838226646184921,0.6540564894676208,MLP
101,ParticleInteraction,900,False,1000,Lorentz,trial101/,0.00728755327872932,0.322124120593071,0.3010633587837219,0.3669186979532242,MLP
102,ParticleInteraction,300,False,3000,Lorentz,trial102/,0.003407390283731123,0.04539604559540748,0.13042175024747849,0.04758918657898903,MLP
103,ParticleInteraction,90,False,10000,Lorentz,trial103/,0.0050798492738977075,0.01580023830756545,0.06591922417283058,0.018019151408225298,MLP
104,ParticleInteraction,30,False,30000,Lorentz,trial104/,0.008294672581056754,0.010757230035960675,0.060443269088864326,0.018145890440791845,MLP
105,O5Synthetic,1000,True,30,O[5],trial105/,0.2685048282146454,0.3581333324313164,0.026859515346586704,0.3852642774581909,MLP+Aug
106,O5Synthetic,1000,True,100,O[5],trial106/,0.4492034912109375,0.5428203165531158,0.04923676699399948,0.49913620948791504,MLP+Aug
107,O5Synthetic,1000,True,300,O[5],trial107/,0.07378038018941879,0.0802934281527996,0.014310779515653849,0.08719944953918457,MLP+Aug
108,O5Synthetic,900,True,1000,O[5],trial108/,0.0705847479403019,0.06025482304394245,0.010122808162122965,0.057961953803896904,MLP+Aug
109,O5Synthetic,300,True,3000,O[5],trial109/,0.09081241115927696,0.07974956035614014,0.014169936068356037,0.07075516507029533,MLP+Aug
110,O5Synthetic,90,True,10000,O[5],trial110/,0.0629035947844386,0.06344928368926048,0.009467185474932194,0.06081702001392841,MLP+Aug
111,O5Synthetic,30,True,30000,O[5],trial111/,0.06994061836351952,0.0681064922362566,0.011850631795823574,0.06254025734961033,MLP+Aug
112,Inertia,1000,True,30,O[3],trial112/,0.12377472966909409,4.608041000366211,0.0971725583076477,4.773139238357544,MLP+Aug
113,Inertia,1000,True,100,O[3],trial113/,0.14979909360408783,1.8582781672477722,0.05311307869851589,1.5538493990898132,MLP+Aug
114,Inertia,1000,True,300,O[3],trial114/,0.11022008955478668,0.46616668701171876,0.03714426979422569,0.40097689628601074,MLP+Aug
115,Inertia,900,True,1000,O[3],trial115/,0.06717248633503914,0.13642240613698958,0.025157462805509567,0.12787092849612236,MLP+Aug
116,Inertia,300,True,3000,O[3],trial116/,0.08232163016994794,0.10955317839980125,0.024595153518021107,0.11892969533801079,MLP+Aug
117,Inertia,90,True,10000,O[3],trial117/,0.0991211760789156,0.10705057606101036,0.025962993502616882,0.10801464319229126,MLP+Aug
118,Inertia,30,True,30000,O[3],trial118/,0.10114041393001874,0.1031109370291233,0.02642131596803665,0.09460198506712914,MLP+Aug
119,ParticleInteraction,1000,True,30,Lorentz,trial119/,0.01636541821062565,0.6297687113285064,0.17594271153211594,0.5598567128181458,MLP+Aug
120,ParticleInteraction,1000,True,100,Lorentz,trial120/,0.06000224128365517,0.22082609087228774,0.16648539900779724,0.22321803867816925,MLP+Aug
121,ParticleInteraction,1000,True,300,Lorentz,trial121/,0.018010837957262993,0.04689026232808828,0.08264648541808128,0.047490596771240234,MLP+Aug
122,ParticleInteraction,900,True,1000,Lorentz,trial122/,0.008652808144688606,0.013272383715957403,0.05207809805870056,0.012817696668207645,MLP+Aug
123,ParticleInteraction,300,True,3000,Lorentz,trial123/,0.013700107034916678,0.010644884407520294,0.0539204366505146,0.010008033132180572,MLP+Aug
124,ParticleInteraction,90,True,10000,Lorentz,trial124/,0.009528901311568916,0.011286081979051232,0.041796762496232986,0.01625921786762774,MLP+Aug
125,ParticleInteraction,30,True,30000,Lorentz,trial125/,0.012348283796260755,0.011018960829824209,0.05844283662736416,0.01648028939962387,MLP+Aug
0,O5Synthetic,1000,,30,SO[5],trial0/,0.0362139455974102,0.13340409398078917,1.3012341071316769e-07,0.1635637730360031,EMLP-SO(5)
1,O5Synthetic,1000,,100,SO[5],trial1/,0.036920368671417236,0.0418653279542923,1.374023383959866e-07,0.049095846712589264,EMLP-SO(5)
2,O5Synthetic,1000,,300,SO[5],trial2/,0.0334927998483181,0.03950063399970531,1.3444994095834772e-07,0.04897538386285305,EMLP-SO(5)
3,O5Synthetic,900,,1000,SO[5],trial3/,0.023059525527060032,0.02551775723695755,1.3620035588246537e-07,0.025530592538416386,EMLP-SO(5)
4,O5Synthetic,300,,3000,SO[5],trial4/,0.028083312325179577,0.027756170742213725,1.2301339324949367e-07,0.027587762102484703,EMLP-SO(5)
5,O5Synthetic,90,,10000,SO[5],trial5/,0.02211241899058223,0.02107382845133543,1.251662169465817e-07,0.02050177287310362,EMLP-SO(5)
6,O5Synthetic,30,,30000,SO[5],trial6/,0.028200663253664972,0.026278288289904594,1.3608261895114993e-07,0.021425818093121052,EMLP-SO(5)
7,O5Synthetic,1000,,30,O[5],trial7/,0.05417151376605034,0.23899839743971824,1.0670378358668131e-07,0.23594140261411667,EMLP-O(5)
8,O5Synthetic,1000,,100,O[5],trial8/,0.0356336385011673,0.03957400508224964,1.180520570187582e-07,0.04847050830721855,EMLP-O(5)
9,O5Synthetic,1000,,300,O[5],trial9/,0.02796395868062973,0.03433746136724949,1.2727083742447576e-07,0.04225294664502144,EMLP-O(5)
10,O5Synthetic,900,,1000,O[5],trial10/,0.021644256077706814,0.02266394319012761,1.1819303935567405e-07,0.022519678808748722,EMLP-O(5)
11,O5Synthetic,300,,3000,O[5],trial11/,0.02000578958541155,0.02305379379540682,1.2894283685227492e-07,0.02671549003571272,EMLP-O(5)
12,O5Synthetic,90,,10000,O[5],trial12/,0.007600936107337475,0.008683708775788546,1.245446270559114e-07,0.009027008432894945,EMLP-O(5)
13,O5Synthetic,30,,30000,O[5],trial13/,0.021812370559200645,0.02079863417893648,1.1886898931834367e-07,0.01808615494519472,EMLP-O(5)
14,O5Synthetic,1000,,30,SO[5],trial14/,0.039241641759872437,0.09785078018903733,1.5158467903120254e-07,0.1083250641822815,EMLP-SO(5)
15,O5Synthetic,1000,,100,SO[5],trial15/,0.039130281656980515,0.04167796932160854,1.4608588116971077e-07,0.05014021135866642,EMLP-SO(5)
16,O5Synthetic,1000,,300,SO[5],trial16/,0.03053162805736065,0.036791365779936316,1.328737582184658e-07,0.045320063829422,EMLP-SO(5)
17,O5Synthetic,900,,1000,SO[5],trial17/,0.00636015017516911,0.0076892752666026356,1.3801042797467744e-07,0.009434202685952187,EMLP-SO(5)
18,O5Synthetic,300,,3000,SO[5],trial18/,0.038405000853041805,0.03684771507978439,1.2561616813400178e-07,0.032452113926410675,EMLP-SO(5)
19,O5Synthetic,90,,10000,SO[5],trial19/,0.023802845552563668,0.023348738066852094,1.2382946579236886e-07,0.023522106930613518,EMLP-SO(5)
20,O5Synthetic,30,,30000,SO[5],trial20/,0.027821262429157893,0.026439496874809267,1.4894105504481558e-07,0.021902602165937424,EMLP-SO(5)
21,O5Synthetic,1000,,30,O[5],trial21/,0.03298141807317734,0.10995712354779244,1.2873831423121374e-07,0.12809844315052032,EMLP-O(5)
22,O5Synthetic,1000,,100,O[5],trial22/,0.0369785875082016,0.039645472168922426,1.2588969866556e-07,0.04778764396905899,EMLP-O(5)
23,O5Synthetic,1000,,300,O[5],trial23/,0.033060263842344284,0.03755956310778856,1.201374644210773e-07,0.0453399159014225,EMLP-O(5)
24,O5Synthetic,900,,1000,O[5],trial24/,0.01688628736883402,0.016334396600723267,1.2462923848488572e-07,0.013346475083380938,EMLP-O(5)
25,O5Synthetic,300,,3000,O[5],trial25/,0.03438909724354744,0.03345993999391794,1.3000967413745457e-07,0.03060699626803398,EMLP-O(5)
26,O5Synthetic,90,,10000,O[5],trial26/,0.004505160020198673,0.005670071952044964,1.196481207443867e-07,0.005612730281427503,EMLP-O(5)
27,O5Synthetic,30,,30000,O[5],trial27/,0.028474546068658433,0.026454129628837107,1.1588272030849112e-07,0.021014956757426262,EMLP-O(5)
28,O5Synthetic,1000,,30,SO[5],trial28/,0.042617861181497574,0.09948970451951027,1.425761979589879e-07,0.10612968355417252,EMLP-SO(5)
29,O5Synthetic,1000,,100,SO[5],trial29/,0.03860326111316681,0.040944671630859374,1.2668534310478208e-07,0.0499936081469059,EMLP-SO(5)
30,O5Synthetic,1000,,300,SO[5],trial30/,0.032617393881082535,0.03900653272867203,1.385449479585077e-07,0.046974653378129005,EMLP-SO(5)
31,O5Synthetic,900,,1000,SO[5],trial31/,0.022568732500076294,0.026137666776776314,1.263439344256767e-07,0.025267768651247025,EMLP-SO(5)
32,O5Synthetic,300,,3000,SO[5],trial32/,0.03293369306872288,0.03133469987660646,1.3922228703222572e-07,0.028253638185560703,EMLP-SO(5)
33,O5Synthetic,90,,10000,SO[5],trial33/,0.02511110557243228,0.024836241081357003,1.2643582536497888e-07,0.025270783342421055,EMLP-SO(5)
34,O5Synthetic,30,,30000,SO[5],trial34/,0.03170984455694755,0.030911839567124844,1.3749149729846977e-07,0.02621643152087927,EMLP-SO(5)
35,O5Synthetic,1000,,30,O[5],trial35/,0.0391501821577549,0.10689344331622123,1.1669364496924572e-07,0.1145649254322052,EMLP-O(5)
36,O5Synthetic,1000,,100,O[5],trial36/,0.038083042949438095,0.043213102221488955,1.3655552777436242e-07,0.054646845906972885,EMLP-O(5)
37,O5Synthetic,1000,,300,O[5],trial37/,0.03005131334066391,0.03135145306587219,1.290042952462045e-07,0.03722461871802807,EMLP-O(5)
38,O5Synthetic,900,,1000,O[5],trial38/,0.012697419617325068,0.012046400643885135,1.2850071584580292e-07,0.01115419901907444,EMLP-O(5)
39,O5Synthetic,300,,3000,O[5],trial39/,0.038126979023218155,0.03658599462360144,1.2294755435959814e-07,0.03275754861533642,EMLP-O(5)
40,O5Synthetic,90,,10000,O[5],trial40/,0.024627737561240794,0.0244999922811985,1.2025351381339533e-07,0.02490113489329815,EMLP-O(5)
41,O5Synthetic,30,,30000,O[5],trial41/,0.0346658019348979,0.034530782140791416,1.2203817334466294e-07,0.029022466391324997,EMLP-O(5)
0,Inertia,1000,,30,SO[3],trial0/,0.0038144420832395554,4.738142251968384,3.104585744040378e-07,5.087656021118164,EMLP-SO(3)
1,Inertia,1000,,100,SO[3],trial1/,0.06216439977288246,1.051050704717636,2.9269826029576507e-07,0.8412446975708008,EMLP-SO(3)
2,Inertia,1000,,300,SO[3],trial2/,0.011116043664515018,0.24867604523897172,3.775748780299182e-07,0.2418835610151291,EMLP-SO(3)
3,Inertia,900,,1000,SO[3],trial3/,0.012067988980561495,0.05995545424520969,3.332738032213456e-07,0.06172794662415981,EMLP-SO(3)
4,Inertia,300,,3000,SO[3],trial4/,0.009193639270961285,0.028566311486065386,5.297024756600877e-07,0.026396925561130047,EMLP-SO(3)
5,Inertia,90,,10000,SO[3],trial5/,0.01535373623482883,0.02046473752707243,3.4406392046548717e-07,0.022755375131964684,EMLP-SO(3)
6,Inertia,30,,30000,SO[3],trial6/,0.014756166376173496,0.016403690539300443,3.1159842706074414e-07,0.014866423793137074,EMLP-SO(3)
7,Inertia,1000,,30,O[3],trial7/,0.02508680522441864,3.8298829078674315,1.9131081785417337e-07,4.303528785705566,EMLP-O(3)
8,Inertia,1000,,100,O[3],trial8/,0.014062848873436451,1.2705442368984223,2.0520810295465708e-07,1.048955112695694,EMLP-O(3)
9,Inertia,1000,,300,O[3],trial9/,0.026524443179368973,0.33014288544654846,1.7394013696048205e-07,0.316767618060112,EMLP-O(3)
10,Inertia,900,,1000,O[3],trial10/,0.010733110830187798,0.0747589472681284,1.8431598647339342e-07,0.05999378673732281,EMLP-O(3)
11,Inertia,300,,3000,O[3],trial11/,0.009675781552990278,0.030180799029767513,1.9211406510066809e-07,0.030500022694468498,EMLP-O(3)
12,Inertia,90,,10000,O[3],trial12/,0.013808311941102148,0.01962537057697773,2.1828137874990716e-07,0.024063097313046455,EMLP-O(3)
13,Inertia,30,,30000,O[3],trial13/,0.013382990611717105,0.01597824236378074,1.9568914666479031e-07,0.01383180869743228,EMLP-O(3)
14,Inertia,1000,,30,SO[3],trial14/,0.0028205737471580505,8.010423183441162,3.1584092141656583e-07,8.29441785812378,EMLP-SO(3)
15,Inertia,1000,,100,SO[3],trial15/,0.004887267015874386,1.0878479301929473,2.485093659743143e-07,0.9446463882923126,EMLP-SO(3)
16,Inertia,1000,,300,SO[3],trial16/,0.008888324722647667,0.43145124018192293,3.7980274214532983e-07,0.24260742217302322,EMLP-SO(3)
17,Inertia,900,,1000,SO[3],trial17/,0.007998631335794926,0.05850762724876404,2.4364190664982743e-07,0.05376537702977657,EMLP-SO(3)
18,Inertia,300,,3000,SO[3],trial18/,0.013920624585201343,0.033925683982670304,3.9877932067611255e-07,0.03243213053792715,EMLP-SO(3)
19,Inertia,90,,10000,SO[3],trial19/,0.012478576926514506,0.018556741438806056,3.6014986903865065e-07,0.024238836020231247,EMLP-SO(3)
20,Inertia,30,,30000,SO[3],trial20/,0.012938854144886136,0.014981761109083891,3.3153727940771205e-07,0.014138450846076012,EMLP-SO(3)
21,Inertia,1000,,30,O[3],trial21/,0.037439361214637756,4.535775804519654,1.8596833228912146e-07,4.9089295864105225,EMLP-O(3)
22,Inertia,1000,,100,O[3],trial22/,0.009531237185001373,1.0598506331443787,2.090145372335428e-07,0.8497461974620819,EMLP-O(3)
23,Inertia,1000,,300,O[3],trial23/,0.010194437578320503,0.3476666688919067,2.2304396196659582e-07,0.28177841007709503,EMLP-O(3)
24,Inertia,900,,1000,O[3],trial24/,0.018115763552486897,0.1641466312110424,2.1883092671259874e-07,0.08271481841802597,EMLP-O(3)
25,Inertia,300,,3000,O[3],trial25/,0.01120253698900342,0.028141015395522117,2.836214747503618e-07,0.0385272242128849,EMLP-O(3)
26,Inertia,90,,10000,O[3],trial26/,0.012328643165528775,0.017853863816708327,2.3030644769050923e-07,0.018591642379760742,EMLP-O(3)
27,Inertia,30,,30000,O[3],trial27/,0.013006508241718014,0.014280478656291961,2.008451644996967e-07,0.01254813326522708,EMLP-O(3)
28,Inertia,1000,,30,SO[3],trial28/,0.01643173024058342,7.988679313659668,4.5988419117293233e-07,7.37041449546814,EMLP-SO(3)
29,Inertia,1000,,100,SO[3],trial29/,0.028410710394382477,1.3514271676540375,4.667020192528071e-07,0.8753437995910645,EMLP-SO(3)
